lat,lon,date,vpd_avg,vpd_max,vpd_min,vpd_avg_1,vpd_max_1,vpd_min_1
16.07,78.52,2007-01-01,13.68716812,29.94258499,1.67732811,13.09384727,26.51494217,2.311349869
8.51,77.27,2007-01-01,9.552265167,23.15978241,1.753252029,11.25317764,24.23890114,1.684713364
8.52,77.26,2007-01-01,9.552265167,23.15978241,1.753252029,11.25317764,24.23890114,1.684713364
8.52,77.27,2007-01-01,9.552265167,23.15978241,1.753252029,11.25317764,24.23890114,1.684713364
14.23,75.28,2007-01-01,14.3931179,28.26906967,6.425320625,14.69704056,28.08847427,5.915147781
23.58,79.26,2007-01-01,8.942053795,20.38155174,2.141740799,9.247896194,22.4766655,1.584228516
28.49,80.7,2007-01-01,3.939397812,13.26993752,0.091023445,3.328914881,9.492967606,0.030041695
30.81,77.34,2007-01-01,3.254218578,7.286198616,0.864653111,2.811953306,6.293475151,0.558382034
8.53,77.27,2007-01-01,9.552265167,23.15978241,1.753252029,11.25317764,24.23890114,1.684713364
14.08,75.43,2007-01-02,13.6461525,26.40500641,3.858703613,14.19340515,27.7571907,5.860128403
14.08,75.41,2007-01-02,13.6461525,26.40500641,3.858703613,14.19340515,27.7571907,5.860128403
14.09,75.44,2007-01-02,13.6461525,26.40500641,3.858703613,14.19340515,27.7571907,5.860128403
14.09,75.42,2007-01-02,13.6461525,26.40500641,3.858703613,14.19340515,27.7571907,5.860128403
14.9,75.98,2007-01-02,15.06351089,28.58875656,4.775648117,14.8899622,30.22771835,5.274106979
14.94,75.97,2007-01-02,15.06351089,28.58875656,4.775648117,14.8899622,30.22771835,5.274106979
25.18,92.35,2007-01-02,3.731315136,9.812558174,0.621603966,3.674494028,6.95884037,0.952551842
25.18,92.36,2007-01-02,3.731315136,9.812558174,0.621603966,3.674494028,6.95884037,0.952551842
31.04,77.8,2007-01-03,6.966310978,12.73639488,3.14905405,5.128676414,8.484743118,3.191761255
15.98,78.96,2007-01-03,15.21468639,30.19573212,6.184539795,14.0890274,26.8120842,3.276810646
13.41,77.18,2007-01-03,13.36651897,28.21444702,2.967429161,12.6505127,25.83856583,1.563345909
19.32,73.25,2007-01-03,12.5752964,29.43803406,1.25270462,14.02516365,31.74669647,2.101352692
23.37,77.63,2007-01-03,6.97823143,17.36474228,1.10173893,8.765392303,17.75459099,1.24901104
23.48,79.64,2007-01-03,6.553559303,15.69324303,0.961248398,7.722138882,17.18944931,1.577569008
25.27,78.31,2007-01-03,7.256759644,17.95676041,0.849256516,6.247133255,15.67586422,0.521501541
31.68,77.4,2007-01-03,2.230904102,5.461820602,0.918519497,1.820147276,3.739360332,0.888198972
31.19,77.89,2007-01-03,2.78008008,6.706775188,1.239016294,2.234738111,5.056117058,0.970795512
31.02,78.12,2007-01-03,5.147087097,10.52140236,2.628035307,3.745597124,7.24768734,1.866645813
30.77,77.05,2007-01-03,4.540257931,11.78888512,1.231266975,3.666435242,7.875153542,1.18305397
30.77,78.41,2007-01-03,5.166984081,10.61670494,2.522016048,3.807577133,7.049129486,1.832035303
31.99,77.0,2007-01-03,2.335205078,5.124265671,1.167020321,2.116997004,4.46925211,1.141863585
31.33,77.65,2007-01-04,5.036288738,10.90259838,1.717299223,4.898365498,10.50157261,2.243279934
31.18,78.04,2007-01-04,2.746418953,6.887031555,0.794941187,2.78008008,6.706775188,1.239016294
31.18,77.92,2007-01-04,2.746418953,6.887031555,0.794941187,2.78008008,6.706775188,1.239016294
30.03,80.38,2007-01-04,3.651454449,9.106735229,1.077221632,3.740736961,7.758365631,1.450267076
30.76,78.42,2007-01-04,4.800409794,11.46915245,1.310675144,5.166984081,10.61670494,2.522016048
30.7,78.5,2007-01-04,4.800409794,11.46915245,1.310675144,5.166984081,10.61670494,2.522016048
30.85,78.51,2007-01-04,4.800409794,11.46915245,1.310675144,5.166984081,10.61670494,2.522016048
31.01,77.91,2007-01-04,5.175601482,10.86331177,2.139539719,5.147087097,10.52140236,2.628035307
31.01,77.92,2007-01-04,5.175601482,10.86331177,2.139539719,5.147087097,10.52140236,2.628035307
29.92,78.93,2007-01-04,6.985561848,16.36515999,1.77232933,4.744542599,13.08320618,1.189315319
31.42,77.75,2007-01-04,2.710154772,7.355425835,0.76790905,2.118430614,5.056519508,0.80464828
29.44,79.44,2007-01-04,7.150292873,18.8324852,1.761612892,5.150340557,15.8647213,0.590388775
24.79,94.02,2007-01-04,3.110261679,9.94876194,0.234815598,3.505587101,10.41104794,0.300812721
25.16,93.73,2007-01-04,2.806074381,9.132939339,0.353478432,2.92850399,8.715652466,0.019281387
25.99,94.35,2007-01-04,1.508670568,6.581277847,-2.57e-05,1.397020221,4.623608589,0.000196457
25.99,94.34,2007-01-04,1.508670568,6.581277847,-2.57e-05,1.397020221,4.623608589,0.000196457
25.18,93.41,2007-01-04,2.576422453,9.575296402,0.220663071,2.943630219,9.257789612,0.000232697
25.17,93.72,2007-01-04,2.806074381,9.132939339,0.353478432,2.92850399,8.715652466,0.019281387
29.52,78.84,2007-01-04,6.013652325,17.98301125,0.198513031,5.055797577,15.85005856,0.000156403
11.62,76.54,2007-01-04,8.675535202,23.00060272,0.653481483,8.118251801,22.05409241,0.490224838
11.69,76.46,2007-01-04,12.74985695,29.91544151,1.448457718,11.65576267,27.60600281,1.24042511
32.31,76.57,2007-01-04,2.787520647,5.348481178,1.252943516,2.660919905,5.419999599,1.516244888
26.9,92.51,2007-01-05,2.744348049,6.512702942,0.496648788,2.760088205,8.049824715,0.374036789
15.04,76.45,2007-01-05,14.13448715,27.27862167,3.506109238,14.44427681,27.04779053,5.704180717
16.0,78.87,2007-01-05,11.58547688,25.69274521,0.33231926,13.90012455,28.29990387,4.143742561
16.03,78.86,2007-01-05,11.58547688,25.69274521,0.33231926,13.90012455,28.29990387,4.143742561
16.14,78.7,2007-01-05,12.21106911,25.9760704,0.525476456,14.13569164,28.11869431,4.564443588
18.72,81.22,2007-01-05,10.33134842,22.50781059,1.661968231,11.58452129,24.25152016,2.089170456
19.18,80.8,2007-01-05,10.49891949,26.80994034,2.673466682,11.01046467,27.48551559,2.715830803
24.2,82.71,2007-01-05,8.990022659,20.13697052,3.075724602,8.790477753,19.96739388,2.8312006
28.73,79.96,2007-01-05,7.747049332,17.12631607,2.401542664,6.042107582,15.32839775,1.66055584
28.6,79.93,2007-01-05,8.644782066,17.43626785,3.156233311,6.958786011,15.95034885,1.811656952
30.95,78.33,2007-01-05,2.83989501,5.459425926,1.240738392,3.902103186,9.16626358,1.144427538
31.08,77.88,2007-01-05,4.194898605,8.081953049,1.594064236,5.175601482,10.86331177,2.139539719
31.49,77.47,2007-01-05,4.05136776,8.04145813,2.198663712,4.799557686,10.66718388,2.054933071
31.25,77.76,2007-01-05,3.948144197,7.515694141,1.973618507,5.036288738,10.90259838,1.717299223
30.65,78.98,2007-01-05,1.457290649,3.221077442,0.360539675,1.936840415,5.286067009,0.428483009
29.45,78.9,2007-01-05,5.547006607,13.4658432,0.848199844,5.096912384,14.95678043,0.540565968
15.32,74.69,2007-01-05,14.27918339,24.60615921,6.212469101,12.28945923,24.71934509,4.098731995
26.46,95.0,2007-01-06,2.629480839,7.940768242,0.030977249,2.066755533,7.270079613,0.160664558
21.65,77.42,2007-01-06,11.07725334,23.29813004,3.679789543,9.355029106,21.16037941,2.502508163
13.35,76.53,2007-01-06,12.92529297,29.01354599,1.56681633,13.61421967,27.35161972,2.270584106
10.17,77.24,2007-01-06,5.49876833,16.12202072,0.409305573,6.403726578,14.54634857,0.817735672
23.54,93.35,2007-01-06,3.608857393,14.39309883,0.005335808,2.987373829,11.28707981,-0.000729561
23.03,93.07,2007-01-06,4.381383419,14.46425724,0.013109207,3.535880089,11.08738422,-0.000639915
25.56,93.92,2007-01-06,2.380856037,9.429133415,0.000392914,1.874450207,7.62637043,0.000562668
25.86,92.0,2007-01-06,2.495256186,10.22544479,0.122883797,1.765160918,6.822603226,0.486739159
25.86,91.99,2007-01-06,2.495256186,10.22544479,0.122883797,1.765160918,6.822603226,0.486739159
26.11,94.5,2007-01-06,2.092410803,9.134380341,-0.001038551,1.535855889,7.375098228,0.002373695
26.06,94.3,2007-01-06,1.927267551,7.889043808,-0.000589371,1.464828968,6.334229469,0.001990318
27.32,92.38,2007-01-06,1.822219372,4.701153755,0.345158577,1.624940753,4.236452103,0.452000618
27.32,92.39,2007-01-06,1.822219372,4.701153755,0.345158577,1.624940753,4.236452103,0.452000618
26.67,94.85,2007-01-06,3.637558699,10.15582275,0.19282341,2.888708591,8.456037521,0.233673096
26.67,94.84,2007-01-06,3.637558699,10.15582275,0.19282341,2.888708591,8.456037521,0.233673096
26.89,92.52,2007-01-06,3.296995401,7.272217751,1.244587898,2.744348049,6.512702942,0.496648788
27.13,95.56,2007-01-06,4.790211201,12.30348396,0.838917732,4.048289776,10.37399387,0.925600052
26.71,95.17,2007-01-06,3.231881857,9.312507629,0.129358292,2.343407631,7.494613647,0.323622704
26.65,94.89,2007-01-06,3.230949879,8.81294632,0.17822361,2.304944277,7.073634148,0.435494423
26.65,94.9,2007-01-06,3.230949879,8.81294632,0.17822361,2.304944277,7.073634148,0.435494423
26.62,94.94,2007-01-06,2.629480839,7.940768242,0.030977249,2.066755533,7.270079613,0.160664558
26.62,94.93,2007-01-06,2.629480839,7.940768242,0.030977249,2.066755533,7.270079613,0.160664558
26.58,94.82,2007-01-06,2.399713278,6.701929092,0.045525551,1.694018245,5.690833092,0.270102501
26.58,94.83,2007-01-06,2.399713278,6.701929092,0.045525551,1.694018245,5.690833092,0.270102501
15.07,76.44,2007-01-06,12.42885017,26.1309166,2.340675354,14.13448715,27.27862167,3.506109238
15.07,76.45,2007-01-06,12.42885017,26.1309166,2.340675354,14.13448715,27.27862167,3.506109238
14.85,76.04,2007-01-06,15.71566963,31.06879044,3.769281387,17.71967888,32.35486603,7.227460861
21.15,76.44,2007-01-06,10.52602482,23.3401165,1.874710083,9.868848801,21.3938942,2.078190804
19.51,73.39,2007-01-06,12.54688549,27.43597412,3.582877159,11.09433079,24.79794312,3.271087646
